Player,2023/24
AJ Green,1901769.0
AJ Griffin,3712920.0
AJ Lawson,1000000.0
Aaron Gordon,21266182.0
Aaron Holiday,2346614.0
Aaron Nesmith,5634257.0
Aaron Wiggins,1836096.0
Adam Flagler,205897.0
Adama Sanogo,559782.0
Admiral Schofield,559782.0
Al Horford,10000000.0
Alec Burks,10489600.0
Aleksej Pokusevski,5574809.0
Alex Caruso,9460000.0
Alex Fudge,376405.0
Alex Len,3196448.0
Alondes Williams,212331.0
Alperen Sengun,3536280.0
Amari Bailey,559782.0
Amen Thompson,8809284.0
Amir Coffey,3666667.0
Andre Drummond,3360000.0
Andre Jackson Jr,1119563.0
Andrew Funk,160857.0
Andrew Nembhard,2131905.0
Andrew Nicholson,2844429.0
Andrew Wiggins,24330357.0
Anfernee Simons,24107143.0
Anthony Black,7245480.0
Anthony Davis,40600080.0
Anthony Edwards,13534817.0
Anthony Gill,1997238.0
Armoni Brooks,241285.0
Ashton Hagans,270841.0
Ausar Thompson,7977420.0
Austin Reaves,12015150.0
Ayo Dosunmu,6481482.0
BJ Boston,1836096.0
Bam Adebayo,32600060.0
Ben Sheppard,2537172.0
Ben Simmons,37893408.0
Bennedict Mathurin,6916080.0
Bilal Coulibaly,6614256.0
Bismack Biyombo,6194075.0
Blake Wesley,2504640.0
Boban Marjanovic,2891467.0
Bobby Portis,11710818.0
Bogdan Bogdanovic,18700000.0
Bojan Bogdanovic,20000000.0
Bol Bol,2165000.0
Bones Hyland,2306400.0
Bradley Beal,46741590.0
Brandin Podziemski,3352404.0
Brandon Clarke,12500000.0
Brandon Ingram,33833400.0
Brandon Miller,10880364.0
Brandon Williams,350668.0
Braxton Key,559782.0
Brice Sensabaugh,2448600.0
Brook Lopez,25000000.0
Bruce Brown,22000000.0
Bruno Fernando,2581522.0
Bryce McGowens,1719864.0
Buddy Boeheim,167291.0
Buddy Hield,19321859.0
CJ McCollum,35802469.0
Cade Cunningham,11055360.0
Caleb Houstan,2000000.0
Caleb Martin,6802950.0
Cam Reddish,2165000.0
Cam Thomas,2240160.0
Cameron Johnson,25679348.0
Cameron Payne,9391467.0
Cameron Whitmore,3218160.0
Caris LeVert,15384616.0
Cason Wallace,5291352.0
Cedi Osman,6718842.0
Charles Bassey,2600000.0
Charles Bediako,215548.0
Charlie Brown,559782.0
Chet Holmgren,10386000.0
Chimezie Metu,2697258.0
Chris Boucher,11750000.0
Chris Duarte,4124400.0
Chris Livingston,1119563.0
Chris Paul,30800000.0
Christian Braun,2949120.0
Christian Koloko,1719864.0
Christian Wood,2709849.0
Chuma Okeke,5266712.0
Clint Capela,20616000.0
Coby White,11111111.0
Cody Martin,7560000.0
Cody Zeller,3196448.0
Colby Jones,2019706.0
Cole Anthony,5539771.0
Cole Swider,559782.0
Colin Castleton,559782.0
Collin Gillespie,559782.0
Collin Sexton,17525000.0
Corey Kispert,3722040.0
Cory Joseph,3196448.0
Craig Porter,1500000.0
D'Angelo Russell,17307693.0
D'Moi Hodge,241285.0
DJ Carton,205897.0
DJ Wilson,134863.0
DaQuan Jeffries,1341538.0
Daishen Nix,559782.0
Dalano Banton,2019706.0
Dalen Terry,3350760.0
Damian Jones,2586665.0
Damian Lillard,45640084.0
Damion Lee,2528233.0
Daniel Gafford,12402000.0
Daniel Theis,9108387.0
Danilo Gallinari,7850062.0
Danny Green,202074.0
Dante Exum,3000000.0
Danuel House,4310250.0
Dario Saric,2709849.0
Dariq Whitehead,2966040.0
Darius Bazley,624425.0
Darius Garland,34005250.0
David Duke,395708.0
David Roddy,2718240.0
Davion Mitchell,5063640.0
Davis Bertans,17000000.0
Day'Ron Sharpe,2210040.0
De'Aaron Fox,32600060.0
De'Andre Hunter,20089286.0
De'Anthony Melton,8000000.0
DeAndre Jordan,3196448.0
DeJon Jarreau,207100.0
DeMar DeRozan,28600000.0
Dean Wade,5709877.0
Deandre Ayton,32459438.0
Dejounte Murray,18214000.0
Delon Wright,8195122.0
Demetrius Jackson,92857.0
Deni Avdija,6263188.0
Dennis Schroeder,12405000.0
Dennis Smith,2528233.0
Dereck Lively,4775628.0
Dereon Seabron,559782.0
Derrick Jones,2709849.0
Derrick Rose,3196448.0
Derrick White,18857143.0
Desmond Bane,3845083.0
Devin Booker,36016200.0
Devin Vassell,5887899.0
Devonte Graham,12100000.0
Dewayne Dedmon,2748674.0
Dexter Dennis,212331.0
Didi Louzada,268032.0
Dillon Brooks,22627671.0
Domantas Sabonis,29300000.0
Dominick Barlow,1015402.0
Donovan Mitchell,33162030.0
Donte DiVincenzo,10900000.0
Dorian Finney-Smith,13932008.0
Doug McDermott,14000000.0
Draymond Green,22321429.0
Drew Eubanks,2346614.0
Drew Peterson,395708.0
Dru Smith,1801769.0
Duane Washington Jr,443965.0
Duncan Robinson,18154000.0
Duop Reath,1951220.0
Dwight Powell,4000000.0
Dylan Windler,1116288.0
Dyson Daniels,5784120.0
EJ Liddell,1801769.0
Edmond Sumner,40459.0
Emoni Bates,559782.0
Eric Bledsoe,1300000.0
Eric Gordon,3196448.0
Eugene Omoruyi,1459782.0
Evan Fournier,18857143.0
Evan Mobley,8882640.0
Filip Petrusev,559782.0
Frank Ntilikina,2528233.0
Franz Wagner,5508720.0
Fred VanVleet,40806300.0
Furkan Korkmaz,5370370.0
GG Jackson,1991428.0
Gabe Vincent,10500000.0
Garrett Temple,3196448.0
Garrison Mathews,2000000.0
Gary Harris,13000000.0
Gary Payton II,8715000.0
Gary Trent Jr,18560000.0
Georges Niang,8800000.0
Giannis Antetokounmpo,45640084.0
Goga Bitadze,2066585.0
Gordon Hayward,33319397.0
Gradey Dick,4536708.0
Grant Williams,12405000.0
Grayson Allen,8925000.0
Greg Brown,559782.0
Gui Santos,1029483.0
Hamidou Diallo,134863.0
Harrison Barnes,17000000.0
Harry Giles,2306554.0
Haywood Highsmith,1902137.0
Henri Drell,389274.0
Herb Jones,12015150.0
Hunter Tyson,1119563.0
Ibou Badji,466485.0
Immanuel Quickley,4171548.0
Isaac Okoro,8920794.0
Isaiah Hartenstein,9245121.0
Isaiah Jackson,2696280.0
Isaiah Joe,1997238.0
Isaiah Livers,1836096.0
Isaiah Mobley,559782.0
Isaiah Stewart,5266713.0
Isaiah Thomas,477630.0
Isaiah Todd,1836096.0
Isaiah Wong,559782.0
Ishmael Smith,3196448.0
Ishmail Wainright,988269.0
Ivica Zubac,10933333.0
Izaiah Brockington,64343.0
JD Davison,559782.0
JT Thor,1836096.0
Ja Morant,34005250.0
Ja'Vonte Smart,196245.0
JaVale McGee,5544772.0
Jabari Smith,9326520.0
Jabari Walker,1719864.0
Jack White,703550.0
Jacob Gilyard,701336.0
Jacob Toppin,759245.0
Jaden Hardy,1719864.0
Jaden Ivey,7614480.0
Jaden McDaniels,3901399.0
Jaden Springer,2226240.0
Jae Crowder,3196448.0
Jae'Sean Tate,7000000.0
Jahmi'us Ramsey,232150.0
Jaime Jaquez,3510540.0
Jake LaRavia,3199920.0
Jakob Poeltl,19500000.0
Jalen Brunson,26346666.0
Jalen Crutcher,64343.0
Jalen Duren,4330680.0
Jalen Green,9891480.0
Jalen Hood-Schifino,3695076.0
Jalen Johnson,2925360.0
Jalen McDaniels,4516000.0
Jalen Pickett,1708143.0
Jalen Slawson,559782.0
Jalen Smith,5043773.0
Jalen Suggs,7252080.0
Jalen Williams,4558680.0
Jalen Wilson,850000.0
Jamal Cain,559782.0
Jamal Murray,33833400.0
Jamaree Bouyea,170801.0
James Bouknight,4570080.0
James Harden,35680595.0
James Johnson,3839412.0
James Wiseman,12119440.0
Jarace Walker,6059460.0
Jared Butler,1809782.0
Jared Rhoden,559782.0
