TeamID,SeasonType,Season,Name,Team,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft
1,1,2024,Washington Wizards,WAS,257.38,285.48,17.68,51.04,108.55,55.94,63.96,36.34,66.32,65.25,14.88,42.23,41.27,18.44,24.07,90.9,11.59,37.86,48.79,,,,33.16,9.85,6.93,16.21,23.71,135.13,119.12,67.48,,,,,,,272.42,276.83,272.42,-55.18,1.23,0.02,276.81
2,1,2024,Charlotte Hornets,CHA,93.27,111.15,3.29,18.48,40.19,21.3,24.51,12.18,24.48,24.45,2.71,15.65,15.98,3.61,5.86,36.44,2.08,14.12,18.61,,,,10.14,1.46,0.97,2.77,5.25,49.24,43.94,25.98,,,,,,,98.53,100.56,98.53,-23.95,0.16,0.0,100.55
3,1,2024,Atlanta Hawks,ATL,120.0,130.1,3.88,23.15,49.75,25.09,29.08,15.72,29.47,28.83,4.33,20.28,19.53,8.06,11.37,42.73,4.01,17.26,24.04,,,,14.2,2.16,1.31,3.96,8.16,63.66,55.26,31.06,,,,,,,126.46,129.69,126.46,-6.14,0.49,0.01,129.67
4,1,2024,Miami Heat,MIA,74.22,85.18,5.06,14.11,30.31,16.47,19.03,6.12,18.38,18.67,1.57,11.02,12.19,2.54,3.98,28.91,1.18,10.83,14.9,,,,5.2,0.96,0.44,1.5,2.17,38.99,33.74,20.46,,,,,,,78.1,79.72,78.1,2.76,0.09,0.0,79.7
5,1,2024,Orlando Magic,ORL,90.77,103.52,4.18,17.4,36.52,20.54,23.35,12.11,23.06,23.7,2.1,13.09,14.93,4.43,8.13,32.62,1.93,13.48,18.2,,,,8.65,1.5,0.96,2.55,4.67,47.5,41.14,24.88,,,,,,,96.5,97.33,96.5,4.13,0.09,0.0,97.31
6,1,2024,New York Knicks,NY,258.18,289.59,10.28,49.72,106.77,56.14,65.11,33.79,63.66,64.06,16.05,43.1,44.49,20.63,26.29,94.13,15.47,39.12,54.39,,,,29.34,9.98,5.8,14.91,21.27,135.8,118.33,69.2,,,,,,,272.1,278.0,272.1,27.61,1.16,0.12,277.85
7,1,2024,Philadelphia 76ers,PHI,283.05,308.38,13.74,53.14,114.43,59.57,68.38,37.65,71.78,67.28,15.72,42.66,46.08,24.99,30.19,105.37,14.53,40.83,54.98,,,,31.86,11.7,8.99,14.7,26.03,146.69,127.72,73.59,,,,,,,301.57,302.43,301.57,19.51,1.35,0.04,302.38
8,1,2024,Brooklyn Nets,BKN,233.75,264.29,12.32,44.55,97.66,50.09,58.34,30.01,57.43,57.45,14.68,40.24,39.65,17.31,22.88,83.5,12.82,35.77,48.28,,,,28.1,7.93,6.16,13.67,20.24,120.96,107.73,61.63,,,,,,,246.85,251.34,246.85,-15.81,0.83,0.0,251.34
9,1,2024,Boston Celtics,BOS,271.88,283.04,9.99,51.47,105.71,57.15,67.91,32.16,55.94,67.59,19.35,49.76,45.43,19.21,23.7,93.28,12.87,41.78,54.3,,,,31.54,8.78,8.48,13.5,18.97,141.31,116.11,71.43,,,,,,,287.52,292.33,287.52,66.47,1.09,0.03,292.29
10,1,2024,Toronto Raptors,TOR,101.47,112.51,4.94,19.69,41.79,21.97,25.0,14.16,26.4,25.36,2.5,15.28,15.74,4.61,7.6,35.3,2.45,14.57,19.87,,,,12.79,1.69,1.04,3.06,4.91,52.36,46.23,26.42,,,,,,,107.29,108.98,107.29,-15.25,0.19,0.01,108.95
11,1,2024,Chicago Bulls,CHI,313.14,353.26,12.44,61.0,129.85,68.4,77.81,44.35,83.34,77.69,16.82,46.53,51.78,24.23,30.63,115.02,16.62,47.37,63.57,,,,36.24,12.26,8.98,17.25,27.28,162.91,143.35,82.71,,,,,,,331.4,335.29,331.4,-10.4,2.1,0.0,335.29
12,1,2024,Cleveland Cavaliers,CLE,95.87,106.48,4.99,18.38,38.36,21.1,24.46,11.71,22.17,24.69,2.74,16.06,15.87,3.67,6.57,33.53,1.9,14.58,19.04,,,,11.68,1.43,0.91,2.52,4.22,49.55,42.3,25.81,,,,,,,101.16,103.34,101.16,4.98,0.21,0.0,103.33
13,1,2024,Indiana Pacers,IND,90.84,93.12,5.23,18.24,35.96,19.72,22.49,12.53,22.27,22.9,2.0,13.37,13.87,2.77,4.11,30.32,1.54,11.46,16.03,,,,11.07,1.18,0.9,1.87,4.18,47.84,39.47,23.59,,,,,,,96.1,97.26,96.1,5.51,0.19,0.0,97.24
14,1,2024,Detroit Pistons,DET,211.69,245.7,13.05,41.67,89.92,47.28,53.69,30.41,57.58,54.08,11.3,32.34,35.54,17.38,22.13,79.98,10.75,33.45,44.16,,,,25.95,6.7,4.86,14.93,20.98,111.96,99.66,57.35,,,,,,,223.06,228.44,223.06,-46.42,0.97,0.0,228.44
15,1,2024,Milwaukee Bucks,MIL,342.18,370.0,11.3,66.19,135.78,74.86,87.3,44.44,77.38,88.12,21.75,58.41,57.17,28.39,36.69,118.26,15.26,53.32,67.76,,,,40.71,12.29,10.49,19.21,29.48,182.5,151.91,92.26,,,,,,,360.32,369.34,360.32,20.44,2.86,0.32,369.03
16,1,2024,Minnesota Timberwolves,MIN,229.71,252.43,9.72,43.11,88.88,50.84,58.68,29.91,54.71,57.38,13.26,34.17,40.45,18.64,23.97,80.97,10.01,35.77,45.58,,,,27.84,8.5,6.59,14.01,19.68,118.06,99.42,62.2,,,,,,,244.3,247.41,244.3,33.71,1.29,0.0,247.41
17,1,2024,Utah Jazz,UTA,120.95,132.7,4.29,23.06,49.36,25.68,29.61,15.79,29.3,29.94,4.14,20.05,19.25,8.51,11.15,45.63,3.8,18.25,24.96,,,,14.95,1.96,1.68,5.42,8.35,63.5,54.81,31.83,,,,,,,127.62,130.6,127.62,-13.6,0.26,0.0,130.59
18,1,2024,Oklahoma City Thunder,OKC,381.74,401.21,22.11,74.13,148.63,83.2,95.56,52.01,91.7,94.73,22.33,56.92,64.44,29.52,35.76,138.06,15.88,55.3,69.95,,,,45.11,15.55,13.07,19.86,31.35,199.83,164.33,101.45,,,,,,,406.75,407.66,406.75,61.58,1.5,0.1,407.57
19,1,2024,Portland Trail Blazers,POR,137.03,164.48,7.27,26.73,60.91,29.86,34.16,18.95,38.37,33.55,5.96,22.52,23.44,9.81,13.56,53.86,6.96,20.44,29.02,,,,15.57,3.56,1.98,8.52,13.54,72.22,67.03,36.63,,,,,,,145.15,148.12,145.15,-30.69,0.4,0.0,148.12
20,1,2024,Denver Nuggets,DEN,387.33,411.37,15.65,75.46,152.14,85.19,96.53,55.43,98.64,96.53,20.23,53.51,63.98,26.12,34.03,130.19,18.83,57.75,76.17,,,,50.47,13.53,12.04,20.26,31.12,196.86,167.12,101.19,,,,,,,409.11,416.27,409.11,45.04,3.93,0.88,415.49
21,1,2024,Memphis Grizzlies,MEM,249.67,289.06,12.68,45.92,105.61,52.14,61.09,30.3,60.38,59.98,15.82,45.22,41.35,19.38,25.24,91.56,13.6,37.93,51.03,,,,29.59,10.7,8.32,17.13,22.87,126.78,116.7,65.16,,,,,,,266.83,269.33,266.83,-41.9,0.6,0.0,269.33
22,1,2024,Houston Rockets,HOU,368.76,407.93,18.02,70.46,153.46,77.51,89.42,49.0,92.48,89.2,21.52,60.98,59.4,30.56,39.41,129.79,19.6,57.33,76.68,,,,41.86,13.82,10.2,20.74,35.02,192.86,170.8,95.41,,,,,,,389.61,396.69,389.61,9.82,3.14,0.14,396.56
23,1,2024,New Orleans Pelicans,NO,142.14,153.93,9.95,27.23,56.01,31.2,35.73,19.24,35.12,35.18,6.09,20.89,24.24,10.21,14.12,49.42,4.56,21.52,28.18,,,,17.24,3.52,1.9,5.94,11.1,73.76,62.45,37.92,,,,,,,150.44,152.18,150.44,14.14,0.26,0.0,152.17
24,1,2024,San Antonio Spurs,SA,282.76,307.26,6.38,53.33,115.36,58.94,67.78,37.26,69.07,68.87,16.15,46.28,44.37,19.89,25.4,98.92,13.54,43.09,56.26,,,,37.99,10.1,9.25,18.67,21.93,142.59,126.52,71.81,,,,,,,299.88,304.66,299.88,-41.2,1.37,0.06,304.59
25,1,2024,Dallas Mavericks,DAL,62.99,69.09,3.04,12.04,25.73,13.65,16.13,3.27,14.31,16.35,1.2,9.97,8.2,1.5,2.34,21.62,0.8,5.74,11.75,,,,2.47,0.56,0.41,0.99,1.51,33.83,28.57,17.01,,,,,,,66.37,68.04,66.37,2.44,0.09,0.03,67.93
26,1,2024,Golden State Warriors,GS,294.9,313.95,14.68,56.69,118.94,62.04,72.46,37.51,68.45,71.27,19.25,50.49,49.2,20.46,26.16,100.88,16.12,44.83,60.62,,,,38.0,10.35,7.38,17.96,25.32,152.87,130.4,76.31,,,,,,,309.92,317.55,309.92,17.07,0.95,0.02,317.53
27,1,2024,Los Angeles Lakers,LAL,66.82,71.59,1.85,12.91,25.98,14.84,16.86,5.43,16.66,16.83,1.04,5.28,9.19,1.86,3.08,22.99,0.73,7.44,12.5,,,,3.53,0.65,0.5,1.18,1.38,35.06,29.15,17.86,,,,,,,70.64,71.93,70.64,-0.11,0.14,0.01,71.88
28,1,2024,Los Angeles Clippers,LAC,91.32,100.02,4.78,17.65,36.14,20.39,23.45,11.84,22.31,23.2,2.2,13.71,15.75,4.24,6.78,34.62,1.74,13.74,17.91,,,,8.68,1.35,0.87,2.13,3.76,48.21,40.21,25.05,,,,,,,96.67,97.99,96.67,6.58,0.14,0.01,97.96
29,1,2024,Phoenix Suns,PHO,207.35,225.0,6.61,39.57,80.28,46.1,52.88,27.99,49.91,52.36,11.42,30.36,35.4,17.55,21.74,75.34,9.15,31.63,41.07,,,,25.2,6.58,5.28,13.04,16.76,108.34,89.85,56.38,,,,,,,219.89,222.9,219.89,14.25,0.69,0.01,222.89
